Timestamp,MovingTarget_X,MovingTarget_Y,EyeTracker_X,EyeTracker_Y
172843394642494,708.7458001662369,150.2111693439835,740.6167680000001,167.55459299999998
172843394646686,708.4942698537509,150.2207175707406,739.932912,168.10369200000002
172843394650895,708.3123567240641,150.22775479598772,739.6677648,168.39911700000002
172843394655043,708.2014031759012,150.2321012633568,739.18872,168.10128
172843394659198,708.1627198423228,150.2336263046359,738.340848,167.90265
172843394663450,708.1975850208026,150.23225156688585,738.1840895999999,168.30468000000002
172843394667570,708.3072440621698,150.22795417421202,737.791344,168.571341
172843394671756,708.4929087105043,150.220769815427,737.263872,168.285258
172843394675966,708.7557563861282,150.2107957488264,737.009712,167.998122
172843394680059,709.0969294039651,150.19819371528484,736.438176,168.238503
172843394684169,709.5175341197173,150.18319275085878,736.428096,168.022089
172843394688376,710.0186399965438,150.16609189005754,736.2834479999999,168.86709
172843394692509,710.6012785852356,150.14726275091692,736.1479296,169.666191
172843394696656,711.2664424112238,150.12715199297628,735.8184,170.23833000000002
172843394700753,712.0150837621798,150.1062836392283,735.5058336000001,170.28052200000002
172843394705031,712.8481133704424,150.0852612530722,734.942016,171.77984999999998
172843394709031,713.7663989850408,150.0647699612693,734.785344,171.775746
172843394713133,714.7707638286636,150.04557831386387,735.1475760000001,173.44185299999998
172843394717211,715.8619849355886,150.0285399720055,735.574896,173.505033
172843394721370,717.0407913672725,150.0145952145872,736.128792,173.875383
172843394733893,721.10925265102,150.0020507427489,808.5223440000001,265.327227
172843394738152,722.6446620510245,150.01165728876083,789.574896,272.768886
172843394742219,724.2705112227453,150.03039698346697,776.032848,248.601564
172843394746433,725.9871968534379,150.05975016040583,737.147232,200.51063100000002
172843394750549,727.7950516359595,150.10128848227322,739.5729984,179.364078
172843394754639,729.694341488104,150.1566746730686,742.165344,169.697583
172843394758769,731.6852626596711,150.2276619890112,747.834552,165.152376
172843394762826,733.7679387335105,150.31609342003316,749.99232,168.196851
172843394766905,735.9424175279639,150.42390061394406,750.9011039999999,171.738306
172843394771173,738.2086679092404,150.55310251570313,753.7038191999999,173.70847799999999
172843394775254,740.5665765234376,150.70580371463,754.2145439999999,174.470616
172843394779391,743.015944459071,150.88419249284573,755.0956799999999,175.400226
172843394783653,745.5564838521482,151.09053856875846,755.7986016000001,176.28102
172843394787747,748.1878144469398,151.3271905299967,756.275616,176.559813
172843394791962,750.9094601267636,151.596572950859,757.0401119999999,176.92893899999999
172843394796138,753.720845430176,151.90118319008008,757.649376,176.559831
172843394800276,756.6212920690425,152.24358786552745,758.4401376000001,176.37487199999998
172843394804528,759.610015465993,152.62641900332875,760.6977119999999,175.56486299999997
172843394808754,762.6861213297539,153.05236985990012,762.120576,175.63842
172843394812823,765.8486022877427,153.52419041638422,763.965792,175.092633
172843394817038,769.0963345962169,154.04468254613784,764.941464,173.996505
172843394821115,772.4280749489992,154.61669485710246,766.2815423999999,173.58948
172843394825337,775.8424574065581,155.2431172121731,769.299768,173.636847
172843394829523,779.3379904677673,155.92687493202112,771.4336896,174.03021
172843394833675,782.9130543072429,156.67092268625345,772.875504,173.149497
172843395931345,520,450,537.724224,490.545
172843396022900,520,450,537.929856,491.76441
172843396027139,520,450,538.6097952,489.67794
172843396031224,1020,450,538.6542624,490.22748
172843396035318,1020,450,538.834464,490.58684999999997
172843396039526,1020,450,539.1926784,490.67527499999994
172843396043640,1020,450,539.4417552,489.94326
172843396047725,1020,450,539.7123744,489.734136
172843396051940,1020,450,540.1747151999999,489.55473
172843396056062,1020,450,540.574272,489.40065000000004
172843396060245,1020,450,697.2250032,481.40276400000005
172843396064421,1020,450,839.972448,475.762077
172843396068603,1020,450,925.959888,472.24332000000004
