Timestamp,MovingTarget_X,MovingTarget_Y,EyeTracker_X,EyeTracker_Y
172949316054612,973.3433011246092,289.32277144758314,986.9700959999999,284.49096299999997
172949316121212,926.4877760022309,232.37004259143797,956.7158831999999,241.820397
172949316125318,923.6130068582628,229.6780913342093,952.8337439999999,238.658724
172949316129473,920.7703086103006,227.08458290076783,947.8852848,233.486217
172949316133644,917.963618111593,224.5883634233419,945.33732,230.76926999999998
172949316137767,915.1967741940564,222.18819314128032,942.44472,227.15389799999997
172949316141962,912.4735132728383,219.8827544741365,936.6315119999999,222.633
172949316146201,909.7974653496999,217.67066016787834,934.764192,221.466726
172949316150397,907.1721504077577,215.5504614810775,931.358448,217.44351
172949316154610,904.6009751882277,213.5206563787117,929.8069919999999,214.541451
172949316158801,902.0872303380615,211.57969770211736,927.8863200000001,212.124861
172949316162942,899.6340879157615,209.72600128463236,924.22692,209.053944
172949316167008,897.2445992412187,207.95795398356964,922.0365072000001,207.913068
172949316171178,894.9216930741319,206.27392160033594,916.5831840000001,203.598936
172949316175429,892.6681741044501,204.67225666175608,913.6604735999999,202.84993799999998
172949316179500,890.4867217373362,203.15130603696505,910.6122816,202.377123
172949316183712,888.3798891543634,201.70941836556844,905.773104,200.518677
172949316187873,886.3501026320571,200.34495127415488,903.9507839999999,199.301607
172949316191973,884.3996610984464,199.05627835963696,902.2372559999999,197.896842
172949316196226,882.530735908018,197.84179591931158,899.8564319999999,195.722937
172949316200283,880.7453708153569,196.69992940894508,898.0631424,195.078348
172949316204563,879.0454821277974,195.62913961159688,893.9695680000001,193.49589600000002
172949316208751,877.4328590176162,194.62792850129568,892.748736,192.692763
172949316212929,875.9091639746416,193.69484478706187,891.265176,191.465964
172949316217183,874.4759333806378,192.82848912412408,888.80328,189.801099
172949316221417,873.134578187452,192.02751898050997,887.7782880000001,188.917155
172949316225587,871.8863846816479,191.2906531484831,885.638448,187.04484
172949316229843,870.7325153192132,190.61667589156173,884.48508,185.684022
172949316234025,869.6740096149007,190.00444071907953,883.412352,185.06311200000002
172949316238198,868.7117850718242,189.45287378143746,882.1017216000001,183.776517
172949316242443,867.8466381380862,188.9609768803411,881.6723136,183.348594
172949316246610,867.0792451784451,188.52783008943607,881.3017440000001,182.23571700000002
172949316250828,866.4101634503347,188.15259398182633,879.5396735999999,180.229455
172949316254962,865.8398320748951,187.83451146200343,879.18228,179.83502099999998
172949316259206,865.3685729950935,187.57290920072643,878.3627759999999,180.19780200000002
172949316263385,864.9965919144358,187.36719867236963,878.1734879999999,179.894727
172949316267559,864.7239792112518,187.21687679521511,877.7925072,179.570646
172949316271677,864.5507108250039,187.12152617609388,876.72924,179.09769599999998
172949316275865,864.4766491125658,187.0808149616987,876.1370400000001,179.083773
172949316280204,864.5015436738845,187.09449629978366,877.936464,185.776812
172949316296829,865.5817739988014,187.69112275913744,871.2099792000001,174.27374999999998
172949316300969,866.0938017303283,187.97595321043616,871.197624,173.997126
172949316305104,866.7009583382671,188.31540201487974,871.308576,173.919366
172949316309212,867.4022252089269,188.70977055493097,871.3675728,173.703969
172949316325739,871.124299074723,190.8447449323598,877.1781599999999,156.816234
172949316329892,872.2771251939038,191.52045121000356,876.98592,157.295061
172949316334181,873.5157337317909,192.254157168753,876.768552,157.68495
172949316338333,874.8383755802538,193.04654614567204,876.57192,158.508603
172949316342490,876.2432012565291,193.8983364733611,876.5141759999999,159.358032
172949316346679,877.7282621900954,194.81027586030717,876.413376,162.102645
172949316350899,879.2915121426546,195.78313557258534,876.65112,163.901367
172949316355015,880.9308087756312,196.817704436465,877.874256,166.85021700000001
172949316359169,882.6439153793488,197.91478268237296,881.9731584,174.328056
172949316363411,884.428502777618,199.0751756515293,883.593792,177.480594
172949316367531,886.2821514209459,200.2996873874171,886.755816,181.329993
172949316371744,888.2023536808649,201.58911413503384,887.6129760000001,182.48203800000002
172949316375845,890.1865163570666,202.9442377716199,888.036768,183.947895
172949316380066,892.2319634080595,204.36581919324655,889.81272,186.91479
172949316384290,894.3359389149725,205.8545916822621,890.1654336,188.796051
172949316388525,896.495610286911,207.4112542811377,891.088704,190.257291
172949316392675,898.7080717149342,209.03646519871532,892.771488,192.14064
172949316396920,900.970347880268,210.7308352752182,893.6172,192.745656
172949316401063,903.2793979208232,212.49492153265322,895.5465839999999,194.625549
172949316405190,905.6321196584344,214.32922083737935,896.792256,195.52272299999998
172949316409321,908.025354087514,216.23416370165427,897.9031583999999,196.466985
172949316413422,910.4558901240135,218.21010825087802,900.857088,197.824419
172949316417541,912.9204696117268,220.2573343830302,902.960784,198.32127300000002
172949316421699,915.4157925810657,222.37603814643347,904.8212639999999,199.485531
172949316425875,917.938522753511,224.56632636148206,908.499384,202.05614699999998
172949316430048,920.4852932829792,226.82821151131625,910.18584,202.820112
172949316434192,923.0527127234051,229.16160692563824,913.14288,204.46747200000001
172949316438307,925.6373712098945,231.5663222809174,915.529248,206.03032199999998
172949316442515,928.2358468388893,234.04205943913374,917.88264,208.081728
172949316446632,930.8447122309362,236.5884086459836,921.714192,211.144275
172949316450763,933.4605412578292,239.20484510806563,923.34096,212.720202
172949316455038,936.0799159141873,241.8907259670589,927.53208,216.16308
172949316459195,938.699433311882,244.6452876872272,929.278944,218.04304499999998
172949316463353,941.3157127742124,247.4676438708069,930.59712,219.955788
172949316467410,943.9254030053125,250.3567835139186,934.170912,224.360829
172949316471575,946.5251893090096,253.31156971362722,936.10584,226.58792400000002
172949316475817,949.1118008302284,256.33073883465715,938.62008,229.32160199999998
